Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter
1663819675.419865,38,146726197,0,GPS1_Frame,42.343461666666656,-71.10224166666667,29.2,326833.05180250556,4690051.864751649,19,T
1663819676.4343002,39,146729798,0,GPS1_Frame,42.34346999999999,-71.10224333333333,29.1,326832.93738883093,4690052.793501041,19,T
1663819677.4294147,40,146733399,0,GPS1_Frame,42.34346999999999,-71.10224333333333,29.0,326832.93738883093,4690052.793501041,19,T
1663819678.425399,41,146881040,0,GPS1_Frame,42.34347666666667,-71.102235,28.7,326833.6421591137,4690053.5168118095,19,T
1663819679.4175985,42,146884641,0,GPS1_Frame,42.34348333333334,-71.10223166666667,28.6,326833.9350493694,4690054.250306426,19,T
1663819680.4117742,43,146888242,0,GPS1_Frame,42.34349,-71.102225,28.3,326834.50252612797,4690054.977011874,19,T
1663819681.4342608,44,146891843,0,GPS1_Frame,42.343491666666665,-71.10220999999999,27.8,326835.7427415131,4690055.131531643,19,T
1663819682.4279394,45,146895444,0,GPS1_Frame,42.343495,-71.1022,27.6,326836.5756528534,4690055.481306217,19,T
1663819683.4357173,46,146899045,0,GPS1_Frame,42.3435,-71.10219666666667,27.1,326836.8639668954,4690056.029729993,19,T
1663819684.4205217,47,146902646,0,GPS1_Frame,42.3435,-71.10219500000001,26.8,326837.00126015267,4690056.026335451,19,T
1663819685.4206867,48,146906247,0,GPS1_Frame,42.343498333333336,-71.10218833333333,26.4,326837.5458573698,4690055.827686359,19,T
1663819686.4211779,49,146909848,0,GPS1_Frame,42.343498333333336,-71.10217999999999,25.7,326838.2323236804,4690055.810713747,19,T
1663819687.420767,50,146913449,0,GPS1_Frame,42.343496666666674,-71.102175,25.1,326838.6396276778,4690055.615459257,19,T
1663819688.4375093,51,146917050,0,GPS1_Frame,42.343496666666674,-71.102175,24.5,326838.6396276778,4690055.615459257,19,T
1663819689.4199963,52,146920651,0,GPS1_Frame,42.3435,-71.102175,24.1,326838.64877925237,4690055.985601165,19,T
1663819690.4187682,53,146924252,0,GPS1_Frame,42.34350833333333,-71.10216500000001,22.9,326839.4954176295,4690056.890588947,19,T
1663819691.4194834,54,146927853,0,GPS1_Frame,42.343515,-71.10216333333332,22.3,326839.65101392264,4690057.627478276,19,T
1663819692.4204943,55,146931454,0,GPS1_Frame,42.343520000000005,-71.10216666666668,22.3,326839.3901547821,4690058.18948013,19,T
1663819693.4214404,56,146935055,0,GPS1_Frame,42.34352666666667,-71.10217,22.5,326839.1338714694,4690058.9365529455,19,T
1663819694.4208472,57,146938656,0,GPS1_Frame,42.34353166666667,-71.10217333333334,22.6,326838.8730124284,4690059.498554818,19,T
1663819695.4210513,58,146942257,0,GPS1_Frame,42.343535,-71.10218166666665,22.8,326838.19569809304,4690059.885669292,19,T
1663819696.4320512,59,146945858,0,GPS1_Frame,42.343540000000004,-71.10218833333333,22.8,326837.6602528243,4690060.454460258,19,T
1663819697.419496,60,146949459,0,GPS1_Frame,42.34354666666667,-71.10219333333332,23.0,326837.2666766366,4690061.204927685,19,T
1663819698.4195545,61,146953060,0,GPS1_Frame,42.343555,-71.1022,23.0,326836.7403832417,4690062.143860643,19,T
1663819699.4197133,62,146956661,0,GPS1_Frame,42.343561666666666,-71.10220833333332,23.2,326836.07222101255,4690062.901117248,19,T
1663819700.4197521,63,146960262,0,GPS1_Frame,42.343571666666676,-71.10221166666668,23.3,326835.82509000157,4690064.018332124,19,T
1663819701.4202518,64,146963863,0,GPS1_Frame,42.34358166666666,-71.10221333333334,23.3,326835.7152521666,4690065.132152437,19,T
1663819702.4212825,65,146967464,0,GPS1_Frame,42.34359,-71.10221166666668,23.2,326835.8754246207,4690066.054112659,19,T
1663819703.422261,66,146971065,0,GPS1_Frame,42.34359333333333,-71.102215,23.2,326835.6099902633,4690066.431043717,19,T
1663819704.4210966,67,146974666,0,GPS1_Frame,42.34359500000001,-71.10221833333333,23.1,326835.33998004516,4690066.6229038285,19,T
1663819705.4208133,68,146978267,0,GPS1_Frame,42.34359500000001,-71.10222333333334,23.2,326834.9281008872,4690066.633087576,19,T
1663819706.424525,69,146981868,0,GPS1_Frame,42.34359833333333,-71.10222333333334,23.1,326834.93725268974,4690067.003229493,19,T
1663819707.4240081,70,146985469,0,GPS1_Frame,42.343599999999995,-71.102225,23.2,326834.8045355516,4690067.19169504,19,T
1663819708.4235337,71,146989070,0,GPS1_Frame,42.34360333333334,-71.10222666666667,23.3,326834.67639432993,4690067.5652315505,19,T
1663819709.4236033,72,146992671,0,GPS1_Frame,42.343610000000005,-71.10222166666668,23.5,326835.1065770234,4690068.29533162,19,T
1663819710.4226453,73,146996272,0,GPS1_Frame,42.34361833333334,-71.10221666666666,23.4,326835.5413355207,4690069.210502673,19,T
1663819711.422605,74,146999873,0,GPS1_Frame,42.343619999999994,-71.102215,23.5,326835.68320440757,4690069.392179055,19,T
1663819712.4229267,75,147003474,0,GPS1_Frame,42.343621666666664,-71.10220999999999,23.7,326836.099659272,4690069.567066305,19,T
1663819713.4202805,76,147007075,0,GPS1_Frame,42.343625,-71.102205,23.7,326836.5206899785,4690069.9270245405,19,T
1663819714.422736,77,147010676,0,GPS1_Frame,42.34362833333333,-71.10220166666666,24.1,326836.80442766624,4690070.290377348,19,T
1663819715.4227178,78,147014277,0,GPS1_Frame,42.34363166666667,-71.1022,24.3,326836.95087234874,4690070.657124717,19,T
1663819716.4248385,79,147017878,0,GPS1_Frame,42.34363666666666,-71.1022,24.7,326836.96459991,4690071.212337594,19,T
1663819717.4255745,80,147021479,0,GPS1_Frame,42.34363833333334,-71.1022,25.0,326836.96917576407,4690071.397408555,19,T
1663819718.4259834,81,147025080,0,GPS1_Frame,42.343643333333326,-71.10219833333333,25.3,326837.12019627425,4690071.949226883,19,T
